model,device,dtype,batch_size,resolution,gmacs_per_image,gflops_per_image,latency_ms_per_image,throughput_images_s,peak_cpu_rss_mb,peak_gpu_allocated_mb,activation_total_per_fwd_mb,activation_max_single_mb
resnet18,cuda,fp32,1,224,1.824033792,3.648067584,2.0315399997343775,492.23741601482095,825.71875,63.59375,28.525299072265625,3.0625
resnet18,cuda,fp32,2,224,1.824033792,3.648067584,1.974204999896756,506.53300951638585,856.35546875,66.2216796875,57.05059814453125,6.125
resnet18,cuda,fp32,4,224,1.824033792,3.648067584,0.8657612499973766,1155.0528508905084,863.05859375,80.2060546875,114.1011962890625,12.25
resnet18,cuda,fp32,8,224,1.824033792,3.648067584,0.6780721249697308,1474.7693691797758,875.26171875,106.43994140625,228.202392578125,24.5
resnet18,cuda,fp32,16,224,1.824033792,3.648067584,0.6273939375205373,1593.8949042957013,878.18359375,162.06396484375,456.40478515625,49.0
