variant,method,ratio,nm_pattern,accuracy,nonzero_params,total_params,weight_sparsity,dense_weight_mb,effective_nonzero_weight_mb,gmacs_per_image,gflops_per_image,infer_ms_per_image,infer_images_per_s,effective_gflops_per_s,peak_cpu_rss_mb,peak_gpu_allocated_mb
baseline,baseline,0.0,,0.11,11176842,11181642,0.000429275056382572,42.69127655029297,42.636268615722656,1.823526912,3.647053824,10.556110475044989,94.73186192623075,345.49219929269987,888.30078125,
fine@0.3,fine,0.3,,0.11,7825233,11181642,0.30017138806626076,42.69127655029297,29.850894927978516,1.823526912,3.647053824,12.754593899990141,78.40312344250906,285.9404111645467,899.91015625,
fine@0.5,fine,0.5,,0.11,5590826,11181642,0.49999955283848296,42.69127655029297,21.327308654785156,1.823526912,3.647053824,10.561125700041885,94.68687603974206,345.32813334335526,918.10546875,
fine@0.8,fine,0.8,,0.135,2239217,11181642,0.7997416658483611,42.69127655029297,8.541934967041016,1.823526912,3.647053824,9.669048149953596,103.42279658673529,377.1885057804271,960.41015625,
channel@0.3,channel,0.3,,0.135,7819169,11181642,0.30071370555415744,42.69127655029297,29.827762603759766,1.823526912,3.647053824,9.72569770001428,102.82038686011511,374.9914850833421,963.46875,
channel@0.5,channel,0.5,,0.115,5590826,11181642,0.49999955283848296,42.69127655029297,21.327308654785156,1.823526912,3.647053824,10.479331975056994,95.4259300478513,348.02350308977253,990.83984375,
channel@0.8,channel,0.8,,0.06,2233153,11181642,0.8002839833362578,42.69127655029297,8.518802642822266,1.823526912,3.647053824,10.423503099991649,95.93703675310473,349.88753675363915,1003.91015625,
nm@3:10,nm,0.3,3:10,0.11,7831568,11181642,0.2996048344241391,42.69127655029297,29.87506103515625,1.823526912,3.647053824,10.58375150005304,94.48445572394519,344.58989555657297,979.6015625,
nm@5:10,nm,0.5,5:10,0.11,5597972,11181642,0.4993604695982934,42.69127655029297,21.354568481445312,1.823526912,3.647053824,11.172088100011024,89.50878215854861,326.4433462529177,979.5703125,
nm@8:10,nm,0.8,8:10,0.07,2243418,11181642,0.799365960741723,42.69127655029297,8.557960510253906,1.823526912,3.647053824,9.911672299949714,100.89114830855267,367.95544824645816,979.48046875,
act_channel@0.3,act_channel,0.3,,0.11,7898258,11181642,0.2936405941095235,42.69127655029297,30.12946319580078,1.823526912,3.647053824,10.03317557497212,99.66934122976103,363.4994520675608,1004.26171875,
act_channel@0.5,act_channel,0.5,,0.11,5682186,11181642,0.4918290175986675,42.69127655029297,21.675819396972656,1.823526912,3.647053824,10.203376299978117,98.00677448328007,357.4359816571522,979.4921875,
act_channel@0.8,act_channel,0.8,,0.11,2403602,11181642,0.7850403366518084,42.69127655029297,9.169013977050781,1.823526912,3.647053824,10.990074450000975,90.99119433171003,331.8497832377902,993.0,
