model,device,dtype,batch_size,resolution,gmacs_per_image,gflops_per_image,peak_cpu_rss_mb,peak_gpu_allocated_mb,activation_total_per_fwd_mb,activation_max_single_mb
resnet18,cpu,fp32,1,64,0.149371392,0.298742784,612.83203125,,2.333892822265625,0.25
resnet18,cpu,fp32,2,64,0.149371392,0.298742784,657.00390625,,4.66778564453125,0.5
resnet18,cpu,fp32,3,64,0.149371392,0.298742784,666.28515625,,7.001678466796875,0.75
resnet18,cpu,fp32,4,64,0.149371392,0.298742784,684.50390625,,9.3355712890625,1.0
mobilenet_v3_small,cpu,fp32,1,64,0.007006264,0.014012528,625.546875,,1.32342529296875,0.0703125
mobilenet_v3_small,cpu,fp32,2,64,0.007006264,0.014012528,626.40625,,2.6468505859375,0.140625
mobilenet_v3_small,cpu,fp32,3,64,0.007006264,0.014012528,626.921875,,3.97027587890625,0.2109375
mobilenet_v3_small,cpu,fp32,4,64,0.007006264,0.014012528,627.4375,,5.293701171875,0.28125
