length,prefix,ppl,tokens
256,baseline,8.941585556490567,256
256,whitespace,8.941585556490567,256
256,punctuation,8.941585556490567,256
256,random_words,8.941585556490567,256
256,instruction,8.941585556490567,256
256,baseline,23.487108639934224,256
256,whitespace,23.487108639934224,256
256,punctuation,23.487108639934224,256
256,random_words,23.487108639934224,256
256,instruction,23.487108639934224,256
256,baseline,20.87197946882441,256
256,whitespace,20.87197946882441,256
256,punctuation,20.87197946882441,256
256,random_words,20.87197946882441,256
256,instruction,20.87197946882441,256
256,baseline,21.440877692979114,256
256,whitespace,21.440877692979114,256
256,punctuation,21.440877692979114,256
256,random_words,21.440877692979114,256
256,instruction,21.440877692979114,256
256,baseline,11.67411893010802,256
256,whitespace,11.67411893010802,256
256,punctuation,11.67411893010802,256
256,random_words,11.67411893010802,256
256,instruction,11.67411893010802,256
256,baseline,17.779719139505204,256
256,whitespace,17.779719139505204,256
256,punctuation,17.779719139505204,256
256,random_words,17.779719139505204,256
256,instruction,17.779719139505204,256
256,baseline,12.895145338474403,256
256,whitespace,12.895145338474403,256
256,punctuation,12.895145338474403,256
256,random_words,12.895145338474403,256
256,instruction,12.895145338474403,256
256,baseline,15.879689051400323,256
256,whitespace,15.879689051400323,256
256,punctuation,15.879689051400323,256
256,random_words,15.879689051400323,256
256,instruction,15.879689051400323,256
256,baseline,15.99759322895851,256
256,whitespace,15.99759322895851,256
256,punctuation,15.99759322895851,256
256,random_words,15.99759322895851,256
256,instruction,15.99759322895851,256
256,baseline,7.442791778127259,256
256,whitespace,7.442791778127259,256
256,punctuation,7.442791778127259,256
256,random_words,7.442791778127259,256
256,instruction,7.442791778127259,256
256,baseline,24.534970525860526,256
256,whitespace,24.534970525860526,256
256,punctuation,24.534970525860526,256
256,random_words,24.534970525860526,256
256,instruction,24.534970525860526,256
256,baseline,26.55271199945028,256
256,whitespace,26.55271199945028,256
256,punctuation,26.55271199945028,256
256,random_words,26.55271199945028,256
256,instruction,26.55271199945028,256
256,baseline,7.85911214339224,256
256,whitespace,7.85911214339224,256
256,punctuation,7.85911214339224,256
256,random_words,7.85911214339224,256
256,instruction,7.85911214339224,256
256,baseline,16.022866482843668,256
256,whitespace,16.022866482843668,256
256,punctuation,16.022866482843668,256
256,random_words,16.022866482843668,256
256,instruction,16.022866482843668,256
256,baseline,19.096805404567096,256
256,whitespace,19.096805404567096,256
256,punctuation,19.096805404567096,256
256,random_words,19.096805404567096,256
256,instruction,19.096805404567096,256
256,baseline,13.078764013497176,256
256,whitespace,13.078764013497176,256
256,punctuation,13.078764013497176,256
256,random_words,13.078764013497176,256
256,instruction,13.078764013497176,256
256,baseline,14.937296954158025,256
256,whitespace,14.937296954158025,256
256,punctuation,14.937296954158025,256
256,random_words,14.937296954158025,256
256,instruction,14.937296954158025,256
256,baseline,13.968100706574505,256
256,whitespace,13.968100706574505,256
256,punctuation,13.968100706574505,256
