label,method,bits,accuracy,model_size_mb,latency_ms
Baseline FP32,baseline,32,0.9165,42.66205596923828,9.649571689988079
Linear 8-bit,linear,8,0.917,10.720748901367188,8.913695539995388
Linear 4-bit,linear,4,0.9004,5.3971710205078125,9.263771060013823
K-means 8-bit,kmeans,8,0.9169,10.741096496582031,8.793985720003548
K-means 4-bit,kmeans,4,0.9081,5.398292541503906,5.888246489994344
