variant,method,ratio,nm_pattern,accuracy,nonzero_prunable,total_prunable,weight_sparsity,dense_model_mb,effective_nonzero_weight_mb,gmacs_per_image,gflops_per_image,infer_ms_per_image,infer_images_per_s,effective_gflops_per_s,peak_cpu_rss_mb,peak_gpu_allocated_mb
fine@0.3,fine,0.3,,0.9238,7815047,11164352,0.2999999462575168,42.66197967529297,29.81203842163086,0.557889024,1.115778048,0.1613087062469276,6199.29341240406,6917.035502671461,1428.4765625,166.0615234375
fine@0.5,fine,0.5,,0.9226,5582176,11164352,0.5,42.66197967529297,21.2943115234375,0.557889024,1.115778048,0.16133409874782956,6198.317700730039,6915.946825004411,1428.6171875,165.3115234375
fine@0.8,fine,0.8,,0.9171,2232871,11164352,0.7999999462575168,42.66197967529297,8.51772689819336,0.557889024,1.115778048,0.15739996249976684,6353.241666124802,7088.807584700999,1428.65625,164.9365234375
channel@0.3,channel,0.3,,0.7455,7808959,11164352,0.3005452533205689,42.66197967529297,29.788814544677734,0.557889024,1.115778048,0.1632797450020007,6124.458364310569,6833.536198787719,1460.84375,164.6865234375
channel@0.5,channel,0.5,,0.5631,5582176,11164352,0.5,42.66197967529297,21.2943115234375,0.557889024,1.115778048,0.16104018250189256,6209.63031998705,6928.569197236766,1460.875,165.3115234375
channel@0.8,channel,0.8,,0.2721,2226783,11164352,0.8005452533205689,42.66197967529297,8.494503021240234,0.557889024,1.115778048,0.15634309875167673,6396.18894587936,7136.72721667245,1460.98046875,164.8115234375
nm@3:10,nm,0.3,3:10,0.9219,7821382,11164352,0.29943251520553993,42.66197967529297,29.836204528808594,0.557889024,1.115778048,0.16578653875512828,6031.852812109372,6730.208956518705,1461.859375,207.314453125
nm@5:10,nm,0.5,5:10,0.9198,5589322,11164352,0.4993599270248734,42.66197967529297,21.321571350097656,0.557889024,1.115778048,0.16411374999734107,6093.334653654564,6798.809045665445,1461.65625,208.978515625
nm@8:10,nm,0.8,8:10,0.8975,2237072,11164352,0.7996236593041853,42.66197967529297,8.53375244140625,0.557889024,1.115778048,0.16219986499891093,6165.2332448409525,6879.031915393343,1461.75,205.8125
