variant,method,ratio,nm_pattern,accuracy,nonzero_prunable,total_prunable,weight_sparsity,dense_model_mb,effective_nonzero_weight_mb,gmacs_per_image,gflops_per_image,infer_ms_per_image,infer_images_per_s,effective_gflops_per_s,peak_cpu_rss_mb,peak_gpu_allocated_mb
actchannel@0.3,actchannel,0.3,,0.8946,7886912,11164352,0.2935629403300791,42.66197967529297,30.086181640625,0.557889024,1.115778048,0.1593607887480175,6275.069343320129,7001.584622954374,1347.1171875,164.5615234375
actchannel@0.5,actchannel,0.5,,0.8507,5671616,11164352,0.4919887871683014,42.66197967529297,21.635498046875,0.557889024,1.115778048,0.15279164374987886,6544.86053986701,7302.6117176050375,1347.0625,163.8115234375
actchannel@0.8,actchannel,0.8,,0.5247,2394176,11164352,0.7855517274983805,42.66197967529297,9.133056640625,0.557889024,1.115778048,0.1544975950037042,6472.592663827707,7221.976807944799,1346.92578125,163.6865234375
