variant,method,ratio,nm_pattern,accuracy,nonzero_prunable,total_prunable,weight_sparsity,dense_model_mb,effective_nonzero_weight_mb,gmacs_per_image,gflops_per_image,infer_ms_per_image,infer_images_per_s,effective_gflops_per_s,peak_cpu_rss_mb,peak_gpu_allocated_mb
fine@0.3,fine,0.3,,0.936,7815047,11164352,0.2999999462575168,42.66197967529297,29.81203842163086,0.557889024,1.115778048,0.1872614912554127,5340.1262229406475,5958.395613106328,1139.55078125,111.80810546875
fine@0.5,fine,0.5,,0.918,5582176,11164352,0.5,42.66197967529297,21.2943115234375,0.557889024,1.115778048,0.1575105049960257,6348.782895624847,7083.832586456078,1139.5546875,113.68310546875
fine@0.8,fine,0.8,,0.718,2232871,11164352,0.7999999462575168,42.66197967529297,8.51772689819336,0.557889024,1.115778048,0.15363057625108922,6509.120934140284,7262.734250090982,1139.5703125,114.30810546875
channel_slim@0.3,channel,0.3,,0.894,7862720,7862720,0.0,30.05846405029297,29.993896484375,0.394067712,0.788135424,0.14063884874303767,7110.410878199862,5603.9666923042605,1285.765625,100.7548828125
channel_slim@0.5,channel,0.5,,0.834,5671616,5671616,0.0,21.69420623779297,21.635498046875,0.283719168,0.567438336,0.09813179374759784,10190.37726521206,5782.410718584163,1299.51953125,93.0859375
channel_slim@0.8,channel,0.8,,0.178,2369984,2369984,0.0,9.090690612792969,9.040771484375,0.119897856,0.239795712,0.08225999875321577,12156.576892251744,2915.095011360254,1299.6953125,77.3935546875
nm@1:4,nm,0.25,1:4,0.922,8373312,11164352,0.24999570060134257,42.66197967529297,31.941650390625,0.557889024,1.115778048,0.15412602749165671,6488.196810588224,7239.387572357954,1300.56640625,156.77197265625
nm@2:4,nm,0.5,2:4,0.638,5582208,11164352,0.4999971337342284,42.66197967529297,21.29443359375,0.557889024,1.115778048,0.1574234062445612,6352.295531240602,7087.7519081667615,1300.5703125,156.35400390625
nm@3:4,nm,0.75,3:4,0.09,2791104,11164352,0.7499985668671142,42.66197967529297,10.647216796875,0.557889024,1.115778048,0.1578476337454049,6335.223254679363,7068.703036750346,1300.5703125,157.95947265625
