variant,method,ratio,nm_pattern,accuracy,nonzero_prunable,total_prunable,weight_sparsity,dense_model_mb,effective_nonzero_weight_mb,gmacs_per_image,gflops_per_image,infer_ms_per_image,infer_images_per_s,effective_gflops_per_s,peak_cpu_rss_mb,peak_gpu_allocated_mb
fine@0.3,fine,0.3,,0.9238,7815047,11164352,0.2999999462575168,42.66197967529297,29.81203842163086,0.557889024,1.115778048,0.15756664375658147,6346.520914317759,7081.308717368644,1415.7578125,165.5615234375
fine@0.5,fine,0.5,,0.9226,5582176,11164352,0.5,42.66197967529297,21.2943115234375,0.557889024,1.115778048,0.1601204512462573,6245.298412643428,6968.366872036781,1415.34765625,164.3115234375
fine@0.8,fine,0.8,,0.9171,2232871,11164352,0.7999999462575168,42.66197967529297,8.51772689819336,0.557889024,1.115778048,0.15922433999548957,6280.446821310909,7007.584694850091,1415.6328125,165.3115234375
channel_slim@0.3,channel,0.3,,0.9199,7862720,7862720,0.0,30.05846405029297,29.993896484375,0.394067712,0.788135424,0.1449011287513713,6901.257489276366,5439.125497444004,1541.58203125,140.27490234375
channel_slim@0.5,channel,0.5,,0.9126,5671616,5671616,0.0,21.69420623779297,21.635498046875,0.283719168,0.567438336,0.09935274999406829,10065.14666236922,5711.3500736907445,1548.60546875,125.52294921875
channel_slim@0.8,channel,0.8,,0.8694,2369984,2369984,0.0,9.090690612792969,9.040771484375,0.119897856,0.239795712,0.08354319999853033,11969.855117084237,2870.319930338058,1556.125,94.92041015625
nm@3:10,nm,0.3,3:10,0.9241,7821382,11164352,0.29943251520553993,42.66197967529297,29.836204528808594,0.557889024,1.115778048,0.16143933625244244,6194.27720166231,6911.438524841675,1556.890625,207.96484375
nm@5:10,nm,0.5,5:10,0.9194,5589322,11164352,0.4993599270248734,42.66197967529297,21.321571350097656,0.557889024,1.115778048,0.1645282512436097,6077.983522230138,6781.680590210108,1557.0078125,208.1328125
nm@8:10,nm,0.8,8:10,0.8932,2237072,11164352,0.7996236593041853,42.66197967529297,8.53375244140625,0.557889024,1.115778048,0.160937023747465,6213.610620568914,6933.010329250451,1557.0078125,208.115234375
