length,intervention,ppl,tokens,loss_start,loss_tokens,prefix_len
256,prefix:whitespace:plen10,7.987461435310761,128,138,128,10.0
256,prefix:punctuation:plen10,7.0130778844928985,128,138,128,10.0
256,prefix:random_words:plen10,6.950565232558691,128,138,128,10.0
256,prefix:instruction:plen10,7.1869253770809465,128,138,128,10.0
256,prefix:whitespace:plen32,8.848808623921766,128,160,128,32.0
256,prefix:punctuation:plen32,7.0056504028364746,128,160,128,32.0
256,prefix:random_words:plen32,7.014348756158105,128,160,128,32.0
256,prefix:instruction:plen32,7.305181730085973,128,160,128,32.0
256,prefix:whitespace:plen64,9.979279400235587,128,192,128,64.0
256,prefix:punctuation:plen64,7.0059243336550905,128,192,128,64.0
256,prefix:random_words:plen64,7.0725155021855795,128,192,128,64.0
256,prefix:instruction:plen64,7.301597338717394,128,192,128,64.0
256,prefix:whitespace:plen128,12.11293513446578,128,256,128,128.0
256,prefix:punctuation:plen128,7.03536232224718,128,256,128,128.0
256,prefix:random_words:plen128,7.254876306002734,128,256,128,128.0
256,prefix:instruction:plen128,7.32839084930286,128,256,128,128.0
256,prefix:whitespace:plen256,15.912395979298319,128,384,128,256.0
256,prefix:punctuation:plen256,7.07048221428745,128,384,128,256.0
256,prefix:random_words:plen256,7.376137494231953,128,384,128,256.0
256,prefix:instruction:plen256,7.3484370418289915,128,384,128,256.0
256,sinkpos0:eos,7.2426999533209235,128,128,128,
256,sinkpos1:eos,7.217099818954838,128,128,128,
256,sinkpos0:exclamation,7.116965912506458,128,128,128,
256,sinkpos1:exclamation,7.171440935503576,128,128,128,
256,baseline,15.635633189939455,128,128,128,
256,prefix:whitespace:plen10,16.144843547952313,128,138,128,10.0
256,prefix:punctuation:plen10,15.870465217865911,128,138,128,10.0
256,prefix:random_words:plen10,15.778144860067375,128,138,128,10.0
256,prefix:instruction:plen10,15.600671782168716,128,138,128,10.0
256,prefix:whitespace:plen32,16.85768591547209,128,160,128,32.0
256,prefix:punctuation:plen32,15.962111703328727,128,160,128,32.0
256,prefix:random_words:plen32,15.913606250979456,128,160,128,32.0
256,prefix:instruction:plen32,15.657041823396005,128,160,128,32.0
256,prefix:whitespace:plen64,17.455044280095045,128,192,128,64.0
256,prefix:punctuation:plen64,16.018645774135003,128,192,128,64.0
256,prefix:random_words:plen64,15.891786182055585,128,192,128,64.0
256,prefix:instruction:plen64,15.678752649355905,128,192,128,64.0
256,prefix:whitespace:plen128,18.298657348423987,128,256,128,128.0
256,prefix:punctuation:plen128,15.998089072690734,128,256,128,128.0
256,prefix:random_words:plen128,15.8541955961531,128,256,128,128.0
256,prefix:instruction:plen128,15.72772714299854,128,256,128,128.0
256,prefix:whitespace:plen256,23.066646047340953,128,384,128,256.0
256,prefix:punctuation:plen256,16.02144545041119,128,384,128,256.0
256,prefix:random_words:plen256,15.897845783469458,128,384,128,256.0
256,prefix:instruction:plen256,15.739442074119996,128,384,128,256.0
256,sinkpos0:eos,15.627299993663865,128,128,128,
256,sinkpos1:eos,15.63167474047505,128,128,128,
256,sinkpos0:exclamation,15.648353974405289,128,128,128,
256,sinkpos1:exclamation,15.717564767619715,128,128,128,
256,baseline,10.126405784091192,128,128,128,
256,prefix:whitespace:plen10,10.565848022241562,128,138,128,10.0
256,prefix:punctuation:plen10,10.172605111424339,128,138,128,10.0
256,prefix:random_words:plen10,10.057483115361043,128,138,128,10.0
256,prefix:instruction:plen10,10.103763055295445,128,138,128,10.0
256,prefix:whitespace:plen32,11.065861853568435,128,160,128,32.0
256,prefix:punctuation:plen32,10.21664730282667,128,160,128,32.0
256,prefix:random_words:plen32,10.057833213516032,128,160,128,32.0
256,prefix:instruction:plen32,10.05734883437078,128,160,128,32.0
256,prefix:whitespace:plen64,11.700160906197663,128,192,128,64.0
256,prefix:punctuation:plen64,10.245037399900301,128,192,128,64.0
256,prefix:random_words:plen64,10.047709268724802,128,192,128,64.0
256,prefix:instruction:plen64,10.131924015774901,128,192,128,64.0
256,prefix:whitespace:plen128,12.909430955356964,128,256,128,128.0
