pos,attn_mass
0,0.25969735
1,0.024970012
2,0.013000466
3,0.013792623
4,0.013230995
5,0.014625589
6,0.01203882
7,0.0086364895
8,0.010340993
9,0.01147066
10,0.009476071
11,0.011469921
12,0.008973583
13,0.008477676
14,0.01155419
15,0.008273387
16,0.007818099
17,0.007120153
18,0.007265353
19,0.009496677
20,0.008494609
21,0.0065029385
22,0.0064078514
23,0.00632859
24,0.0061933636
25,0.0060828077
26,0.0060373037
27,0.0059627458
28,0.0059016016
29,0.00582668
30,0.0057488983
31,0.0056255087
32,0.0055326484
33,0.0054775355
34,0.005393689
35,0.005301203
36,0.0052148756
37,0.0051630135
38,0.0050919475
39,0.0050507113
40,0.0049578636
41,0.0048993574
42,0.0048139794
43,0.004729168
44,0.0046823323
45,0.004634471
46,0.004632911
47,0.004567612
48,0.0045400746
49,0.004506275
50,0.0044075493
51,0.00438002
52,0.004361012
53,0.0043094843
54,0.0042264145
55,0.004148499
56,0.004130502
57,0.0040313653
58,0.0040166327
59,0.003961072
60,0.003944767
61,0.0039201383
62,0.0038784975
63,0.0038356963
64,0.0038059105
65,0.0037762788
66,0.0037602964
67,0.0037063193
68,0.003661607
69,0.0036004954
70,0.0036181128
71,0.0035987145
72,0.0035616006
73,0.003488381
74,0.0034497152
75,0.0033987095
76,0.003311641
77,0.0032885796
78,0.003248503
79,0.0032938556
80,0.003205453
81,0.0031775136
82,0.0031447134
83,0.0031402493
84,0.0031365447
85,0.0031038634
86,0.0030734723
87,0.003018514
88,0.0030011048
89,0.0029546742
90,0.002948376
91,0.0029573317
92,0.0028790226
93,0.0028330258
94,0.0028230913
95,0.002772764
96,0.0027581267
97,0.0027366935
98,0.0026932566
99,0.0026351719
100,0.0025722745
101,0.002567128
102,0.0025434706
103,0.0025467984
104,0.0025477177
105,0.0025267473
106,0.002492699
107,0.0024658574
108,0.0024616416
109,0.0024268262
110,0.0023963386
111,0.0023919083
112,0.00234901
113,0.002329971
114,0.0022989714
115,0.002274206
116,0.002262469
117,0.0022242526
118,0.0021729304
119,0.002138749
120,0.002142291
121,0.0021004542
122,0.0021039376
123,0.0020952118
124,0.0020602087
125,0.0020013459
126,0.0019931362
127,0.0020020185
128,0.002018678
129,0.0020207094
130,0.0019960615
131,0.0019312912
132,0.0018638503
133,0.0018299016
134,0.0018027391
135,0.0018073603
136,0.0017701418
137,0.001778911
138,0.0017553985
139,0.0017584298
140,0.0017494475
141,0.0017440721
142,0.0017163489
143,0.0016894138
144,0.0016497548
145,0.0016431916
146,0.0016806291
147,0.0016904416
148,0.0016466274
149,0.001644524
150,0.0016199927
151,0.0015526128
152,0.0015673664
153,0.0015853863
154,0.0015795941
155,0.0015460416
156,0.0014778504
157,0.001447596
158,0.0014585084
159,0.0014332962
160,0.0014500474
161,0.0014241214
162,0.0014047329
163,0.0013974548
164,0.0013762476
165,0.0013857097
166,0.0013705284
167,0.0013609825
168,0.0013069027
169,0.001284544
170,0.0012751198
171,0.0012908373
172,0.0012723721
173,0.0012514286
174,0.0012157953
175,0.0011524311
176,0.0010945582
177,0.0010624352
178,0.0010677784
179,0.0010955752
180,0.0010560293
181,0.0010256034
182,0.0010522143
183,0.0010365171
184,0.0010564474
185,0.0010832262
186,0.0010473011
187,0.0010035544
188,0.001004216
189,0.0009868647
190,0.0009892547
191,0.0009864273
192,0.0009681973
193,0.0009291884
194,0.00090591033
195,0.0009311915
196,0.00092152494
197,0.00092963106
198,0.00091367954
199,0.00086557784
200,0.0008591517
201,0.00084228953
202,0.00080407824
203,0.00083908415
204,0.0008702637
205,0.0008483789
206,0.0008459663
207,0.0008349281
208,0.0007805482
209,0.00079077843
210,0.0007566699
211,0.0007376144
212,0.00071519567
213,0.00067920674
214,0.00065393816
215,0.00068250246
216,0.0006821286
217,0.00065112027
218,0.0006172181
219,0.0005724027
220,0.00058219366
221,0.000569354
222,0.0005792458
223,0.0005521288
224,0.0005195377
225,0.0004893158
226,0.00047298134
227,0.00046128748
228,0.00048434586
229,0.00048411754
230,0.00047535123
231,0.00043924243
232,0.00037390963
233,0.0003515063
234,0.00032119127
235,0.0003087164
236,0.00028327113
237,0.00026185872
238,0.0002615231
239,0.0002618395
240,0.00025396343
241,0.00026942306
242,0.00023633044
243,0.00023265452
244,0.00020737707
245,0.00020400809
246,0.0002137843
247,0.00021299905
248,0.00022620264
249,0.00022951493
250,0.00019119184
251,0.0001391282
252,0.0001531971
253,0.00012096787
254,0.0001167934
255,7.4178104e-05
